1|一|1|19968
2|丨|1|20008
3|亅|1|20101
4|丿|1|20031
5|丶|1|20022
6|乁|1|20033
7|乀|1|20032
8|乛|1|20059
9|乚|1|20058
10|乙|1|20057
11|二|2|20108
12|丅|2|19973
13|十|2|21313
14|丁|2|19969
15|厂|2|21378
16|丆|2|19974
17|匚|2|21274
18|匸|2|21304
19|七|2|19971
20|丂|2|19970
21|丄|2|19972
22|刂|2|20994
23|卜|2|21340
24|冂|2|20866
25|亻|2|20155
26|八|2|20843
27|人|2|20154
28|入|2|20837
29|乂|2|20034
30|勹|2|21241
31|儿|2|20799
32|匕|2|21269
33|几|2|20960
34|九|2|20061
35|亠|2|20128
36|冫|2|20907
37|丷|2|20023
38|冖|2|20886
39|讠|2|35744
40|刁|2|20993
41|了|2|20102
42|凵|2|20981
43|丩|2|20009
44|卩|2|21353
45|阝|2|38429
46|刀|2|20992
47|力|2|21147
48|乃|2|20035
49|又|2|21448
50|厶|2|21430
51|乄|2|20036
52|廴|2|24308
53|巜|2|24028
54|乜|2|20060
55|三|3|19977
56|干|3|24178
57|亍|3|20109
58|于|3|20110
59|亏|3|20111
60|亐|3|20112
61|工|3|24037
62|土|3|22303
63|士|3|22763
64|扌|3|25164
65|艹|3|33401
66|卄|3|21316
67|才|3|25165
68|下|3|19979
69|寸|3|23544
70|丌|3|19980
71|廾|3|24318
72|大|3|22823
73|丈|3|19976
74|兀|3|20800
75|尢|3|23586
76|与|3|19982
77|万|3|19975
78|弋|3|24331
79|夨|3|22824
80|上|3|19978
81|小|3|23567
82|凣|3|20963
83|口|3|21475
84|囗|3|22231
85|山|3|23665
86|巾|3|24062
87|千|3|21315
88|乇|3|20039
89|乞|3|20062
90|川|3|24029
91|亿|3|20159
92|彳|3|24435
93|彡|3|24417
94|凢|3|20962
95|亼|3|20156
96|个|3|20010
97|乊|3|20042
98|亽|3|20157
99|亾|3|20158
100|兦|3|20838
101|亇|3|20103
102|犭|3|29357
103|夕|3|22805
104|久|3|20037
105|夂|3|22786
106|夊|3|22794
107|么|3|20040
108|勺|3|21242
109|凡|3|20961
110|丸|3|20024
111|及|3|21450
112|饣|3|39267
113|丬|3|20012
114|广|3|24191
115|亡|3|20129
116|门|3|38376
117|丫|3|20011
118|义|3|20041
119|氵|3|27701
120|忄|3|24516
121|宀|3|23424
122|辶|3|36790
123|之|3|20043
124|彐|3|24400
125|卂|3|21314
126|尸|3|23608
127|己|3|24049
128|已|3|24050
129|巳|3|24051
130|弓|3|24339
131|孒|3|23378
132|子|3|23376
133|孑|3|23377
134|卫|3|21355
135|屮|3|23662
136|孓|3|23379
137|卪|3|21354
138|也|3|20063
139|女|3|22899
140|乆|3|20038
141|刃|3|20995
142|刄|3|20996
143|飞|3|39134
144|劜|3|21148
145|习|3|20064
146|叉|3|21449
147|马|3|39532
148|彑|3|24401
149|纟|3|32415
150|乡|3|20065
151|幺|3|24186
152|巛|3|24027
153|亖|4|20118
154|丰|4|20016
155|王|4|29579
156|亓|4|20115
157|开|4|24320
158|井|4|20117
159|天|4|22825
160|夫|4|22827
161|元|4|20803
162|无|4|26080
163|韦|4|38886
164|云|4|20113
165|弌|4|24332
166|专|4|19987
167|耂|4|32770
168|圡|4|22305
169|丐|4|19984
170|圠|4|22304
171|扎|4|25166
172|廿|4|24319
173|艺|4|33402
174|木|4|26408
175|朩|4|26409
176|乤|4|20068
177|五|4|20116
178|帀|4|24064
179|巿|4|24063
180|邒|4|37010
181|支|4|25903
182|丏|4|19983
183|厅|4|21381
184|卅|4|21317
185|不|4|19981
186|冇|4|20871
187|仄|4|20164
188|犬|4|29356
189|太|4|22826
190|区|4|21306
191|历|4|21382
192|歹|4|27513
193|友|4|21451
194|厷|4|21431
195|尤|4|23588
196|厄|4|21380
197|匹|4|21305
198|辷|4|36791
199|车|4|36710
200|戸|4|25144
201|巨|4|24040
202|牙|4|29273
203|屯|4|23663
204|戈|4|25096
205|旡|4|26081
206|兂|4|20802
207|比|4|27604
208|互|4|20114
209|切|4|20999
210|瓦|4|29926
211|卝|4|21341
212|止|4|27490
213|攴|4|25908
214|少|4|23569
215|尐|4|23568
216|曰|4|26352
217|日|4|26085
218|冃|4|20867
219|冄|4|20868
220|中|4|20013
221|円|4|20870
222|乢|4|20066
223|贝|4|36125
224|罓|4|32595
225|冈|4|20872
226|内|4|20869
227|內|4|20839
228|水|4|27700
229|见|4|35265
230|禸|4|31160
231|午|4|21320
232|牛|4|29275
233|手|4|25163
234|气|4|27668
235|毛|4|27611
236|壬|4|22764
237|牜|4|29276
238|升|4|21319
239|夭|4|22829
240|攵|4|25909
241|长|4|38271
242|仁|4|20161
243|什|4|20160
244|仃|4|20163
245|片|4|29255
246|仆|4|20166
247|仈|4|20168
248|化|4|21270
249|仉|4|20169
250|仇|4|20167
251|屲|4|23666
252|币|4|24065
253|仂|4|20162
254|仍|4|20173
255|仅|4|20165
256|仏|4|20175
257|斤|4|26020
258|爪|4|29226
259|丯|4|20015
260|戶|4|25142
261|反|4|21453
262|仐|4|20176
263|兮|4|20846
264|刈|4|21000
265|介|4|20171
266|父|4|29238
267|从|4|20174
268|仌|4|20172
269|爻|4|29243
270|尣|4|23587
271|乥|4|20069
272|仑|4|20177
273|爫|4|29227
274|仒|4|20178
275|今|4|20170
276|凶|4|20982
277|分|4|20998
278|乏|4|20047
279|公|4|20844
280|仓|4|20179
281|月|4|26376
282|勻|4|21243
283|卆|4|21318
284|厃|4|21379
285|氏|4|27663
286|勿|4|21247
287|欠|4|27424
288|勽|4|21245
289|匁|4|21249
290|风|4|39118
291|匂|4|21250
292|勼|4|21244
293|丹|4|20025
294|匀|4|21248
295|乌|4|20044
296|卬|4|21356
297|殳|4|27571
298|勾|4|21246
299|凤|4|20964
300|厹|4|21433
301|卞|4|21342
302|亣|4|20131
303|六|4|20845
304|文|4|25991
305|亢|4|20130
306|方|4|26041
307|闩|4|38377
308|火|4|28779
309|兯|4|20847
310|为|4|20026
311|斗|4|26007
312|忆|4|24518
313|灬|4|28780
314|计|4|35745
315|订|4|35746
316|户|4|25143
317|礻|4|31035
318|讣|4|35747
319|认|4|35748
320|冘|4|20888
321|冗|4|20887
322|讥|4|35749
323|心|4|24515
324|肀|4|32896
325|丮|4|20014
326|尹|4|23609
327|卐|4|21328
328|尺|4|23610
329|夬|4|22828
330|弖|4|24342
331|引|4|24341
332|弔|4|24340
333|丑|4|19985
334|卍|4|21325
335|爿|4|29247
336|巴|4|24052
337|孔|4|23380
338|队|4|38431
339|阞|4|38430
340|収|4|21454
341|丒|4|19986
342|刅|4|20997
343|办|4|21150
344|夃|4|22787
345|以|4|20197
346|允|4|20801
347|予|4|20104
348|邓|4|37011
349|劝|4|21149
350|厸|4|21432
351|双|4|21452
352|毌|4|27596
353|书|4|20070
354|毋|4|27595
355|幻|4|24187
356|乣|4|20067
357|弍|5|24333
358|玊|5|29578
359|玉|5|29577
360|匞|5|21278
361|玌|5|29580
362|刊|5|21002
363|未|5|26410
364|末|5|26411
365|示|5|31034
366|击|5|20987
367|邗|5|37015
368|邘|5|37016
369|丼|5|20028
370|戋|5|25099
371|圢|5|22306
372|打|5|25171
373|巧|5|24039
374|正|5|27491
375|圤|5|22308
376|扑|5|25169
377|卉|5|21321
378|圦|5|22310
379|扒|5|25170
380|扖|5|25174
381|圥|5|22309
382|扏|5|25167
